Latitude,Longitude,Ward,Community Area,Date,Block,IUCR,Primary Type,Arrest,Domestic,Beat,District,FBI Code,Year,Month,Day,Hour,Severity,Season
41.895409,-87.75316654,37.0,25.0,2023-08-29 08:30:00,008XX N LECLAIRE AVE,1320,CRIMINAL DAMAGE,False,False,1531,15,14,2023,8,29,8,Less Severe,Summer
41.78687386,-87.65555039,16.0,67.0,2023-09-07 01:44:00,012XX W 59TH ST,820,THEFT,False,True,713,7,6,2023,9,7,1,Less Severe,Fall
41.86550059,-87.65380275,28.0,28.0,2023-09-07 19:30:00,010XX W 13TH ST,910,MOTOR VEHICLE THEFT,False,False,1232,12,7,2023,9,7,19,Other,Fall
41.94039734,-87.72598617,30.0,21.0,2023-09-07 17:20:00,032XX N MILWAUKEE AVE,460,BATTERY,False,False,1732,17,08B,2023,9,7,17,Severe,Fall
41.89003022,-87.63035735,42.0,8.0,2023-09-07 20:50:00,0000X W HUBBARD ST,1563,SEX OFFENSE,False,False,1831,18,17,2023,9,7,20,Other,Fall
41.93228551,-87.64479232,43.0,7.0,2023-09-07 17:40:00,027XX N CLARK ST,810,THEFT,False,False,1935,19,6,2023,9,7,17,Less Severe,Fall
41.67791849,-87.63257169,21.0,53.0,2023-09-07 12:05:00,004XX W 119TH ST,5111,OTHER OFFENSE,True,False,522,5,26,2023,9,7,12,Less Severe,Fall
41.79124229,-87.68640631,15.0,63.0,2023-09-07 12:30:00,056XX S CAMPBELL AVE,560,ASSAULT,False,False,824,8,08A,2023,9,7,12,Severe,Fall
41.90072607,-87.77167949,29.0,25.0,2023-09-07 22:00:00,011XX N MONITOR AVE,810,THEFT,False,False,1511,15,6,2023,9,7,22,Less Severe,Fall
41.72176324,-87.62163016,6.0,49.0,2023-09-07 09:00:00,0000X E 95TH ST,1130,DECEPTIVE PRACTICE,False,False,634,6,11,2023,9,7,9,Other,Fall
41.87343773,-87.72645895,24.0,26.0,2023-09-07 19:13:00,040XX W HARRISON ST,560,ASSAULT,False,True,1132,11,08A,2023,9,7,19,Severe,Fall
41.75000501,-87.67312565,17.0,71.0,2023-09-07 11:30:00,079XX S DAMEN AVE,560,ASSAULT,False,False,611,6,08A,2023,9,7,11,Severe,Fall
41.78588381,-87.66314357,16.0,67.0,2023-09-07 11:44:00,059XX S JUSTINE ST,2860,PUBLIC PEACE VIOLATION,False,False,713,7,24,2023,9,7,11,Other,Fall
41.911447,-87.63860172,2.0,7.0,2023-09-08 00:00:00,016XX N SEDGWICK ST,610,BURGLARY,False,False,1814,18,5,2023,9,8,0,Other,Fall
41.86132017,-87.70421703,24.0,29.0,2023-09-07 12:58:00,031XX W 15TH ST,460,BATTERY,False,False,1022,10,08B,2023,9,7,12,Severe,Fall
41.77355628,-87.66405645,16.0,67.0,2023-09-07 22:35:00,066XX S ASHLAND AVE,031A,ROBBERY,False,False,725,7,3,2023,9,7,22,Severe,Fall
41.88777118,-87.64430467,34.0,28.0,2023-09-07 11:55:00,003XX N DESPLAINES ST,1330,CRIMINAL TRESPASS,False,False,1214,12,26,2023,9,7,11,Other,Fall
41.87744668,-87.69500021,27.0,27.0,2023-09-07 04:30:00,027XX W JACKSON BLVD,930,MOTOR VEHICLE THEFT,True,True,1125,11,7,2023,9,7,4,Other,Fall
41.80689027,-87.58983438,4.0,39.0,2023-06-23 15:00:00,048XX S LAKE PARK AVE,1195,DECEPTIVE PRACTICE,False,False,222,2,11,2023,6,23,15,Other,Summer
41.90215838,-87.76439368,37.0,25.0,2023-09-07 22:00:00,055XX W DIVISION ST,498,BATTERY,False,True,2532,25,04B,2023,9,7,22,Severe,Fall
41.98721057,-87.70203743,50.0,2.0,2023-07-12 00:00:00,058XX N LINCOLN AVE,910,MOTOR VEHICLE THEFT,False,False,2011,20,7,2023,7,12,0,Other,Summer
41.95945244,-87.74749749,45.0,15.0,2023-09-07 18:05:00,043XX N CICERO AVE,460,BATTERY,False,False,1624,16,08B,2023,9,7,18,Severe,Fall
41.97273133,-87.73308907,39.0,14.0,2023-09-07 17:25:00,050XX N KEELER AVE,920,MOTOR VEHICLE THEFT,True,False,1712,17,7,2023,9,7,17,Other,Fall
41.75693726,-87.64784266,17.0,71.0,2023-09-01 12:00:00,075XX S SANGAMON ST,1150,DECEPTIVE PRACTICE,False,False,621,6,11,2023,9,1,12,Other,Fall
41.84200183,-87.62123879,4.0,35.0,2023-09-07 03:00:00,002XX E 29TH ST,610,BURGLARY,False,False,133,1,5,2023,9,7,3,Other,Fall
41.88990668,-87.62410051,42.0,8.0,2023-09-07 16:18:00,004XX N MICHIGAN AVE,860,THEFT,False,False,1834,18,6,2023,9,7,16,Less Severe,Fall
41.87390705,-87.72543009,24.0,26.0,2023-09-07 12:13:00,005XX S PULASKI RD,460,BATTERY,False,False,1132,11,08B,2023,9,7,12,Severe,Fall
41.77902047,-87.69992956,15.0,66.0,2023-09-07 22:25:00,030XX W 63RD ST,460,BATTERY,False,False,823,8,08B,2023,9,7,22,Severe,Fall
41.99329345,-87.78402473,39.0,10.0,2023-09-07 01:12:00,061XX N MILWAUKEE AVE,560,ASSAULT,False,False,1611,16,08A,2023,9,7,1,Severe,Fall
41.78124671,-87.59137728,20.0,42.0,2023-09-07 00:15:00,062XX S DORCHESTER AVE,486,BATTERY,False,True,314,3,08B,2023,9,7,0,Severe,Fall
41.85385057,-87.64173973,25.0,31.0,2023-09-07 14:15:00,021XX S JEFFERSON ST,820,THEFT,False,False,1235,12,6,2023,9,7,14,Less Severe,Fall
41.96476902,-87.63891622,46.0,3.0,2023-09-07 13:30:00,044XX N SIMONDS DR,1320,CRIMINAL DAMAGE,False,False,1914,19,14,2023,9,7,13,Less Severe,Fall
41.76668107,-87.62014422,6.0,69.0,2023-09-07 21:30:00,070XX S INDIANA AVE,610,BURGLARY,False,False,322,3,5,2023,9,7,21,Other,Fall
41.97090893,-87.71954795,33.0,14.0,2023-09-07 06:35:00,049XX N MONTICELLO AVE,810,THEFT,False,False,1712,17,6,2023,9,7,6,Less Severe,Fall
41.74590509,-87.54914144,7.0,46.0,2023-09-07 01:38:00,082XX S COLES AVE,486,BATTERY,False,True,424,4,08B,2023,9,7,1,Severe,Fall
41.88568793,-87.75135218,28.0,25.0,2023-09-07 22:00:00,050XX W FULTON ST,820,THEFT,False,False,1532,15,6,2023,9,7,22,Less Severe,Fall
41.68737144,-87.67028103,19.0,75.0,2023-09-07 11:32:00,113XX S HOMEWOOD AVE,143A,WEAPONS VIOLATION,True,False,2212,22,15,2023,9,7,11,Other,Fall
41.86533688,-87.62578556,3.0,33.0,2023-09-07 20:24:00,013XX S WABASH AVE,820,THEFT,False,False,131,1,6,2023,9,7,20,Less Severe,Fall
41.76503798,-87.60798924,6.0,69.0,2023-09-07 00:01:00,071XX S LANGLEY AVE,910,MOTOR VEHICLE THEFT,False,False,323,3,7,2023,9,7,0,Other,Fall
41.76339662,-87.64359533,6.0,68.0,2023-09-07 13:34:00,007XX W 72ND ST,1130,DECEPTIVE PRACTICE,False,False,732,7,11,2023,9,7,13,Other,Fall
41.7441099,-87.54667155,10.0,46.0,2023-09-07 20:30:00,083XX S BRANDON AVE,486,BATTERY,False,True,424,4,08B,2023,9,7,20,Severe,Fall
41.7727202,-87.58629557,5.0,43.0,2023-09-05 02:44:00,067XX S STONY ISLAND AVE,1310,CRIMINAL DAMAGE,False,False,332,3,14,2023,9,5,2,Less Severe,Fall
