ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
13201454,JG413301,9/6/23 9:08,011XX E 82ND ST,1477,WEAPONS VIOLATION,RECKLESS FIREARM DISCHARGE,ALLEY,FALSE,FALSE,411,4,8,45,15,1185216,1850852,2023,9/14/23 15:43,41.74588634,-87.59690376,"(41.74588634, -87.596903757)"
13206924,JG419550,9/6/23 14:30,013XX W SUNNYSIDE AVE,460,BATTERY,SIMPLE,SIDEWALK,FALSE,FALSE,1913,19,46,3,08B,1166233,1929992,2023,9/14/23 15:43,41.96347847,-87.66420139,"(41.963478472, -87.664201385)"
13201730,JG413710,9/6/23 13:00,028XX W FULTON ST,1330,CRIMINAL TRESPASS,TO LAND,APARTMENT,FALSE,FALSE,1222,12,27,27,26,1157508,1901884,2023,9/14/23 15:43,41.88653051,-87.69704717,"(41.886530514, -87.697047165)"
13201227,JG413021,9/6/23 3:24,060XX S LA SALLE ST,820,THEFT,$500 AND UNDER,STREET,FALSE,FALSE,311,3,20,68,6,1176338,1864934,2023,9/14/23 15:43,41.78473284,-87.6290118,"(41.784732839, -87.629011797)"
13207672,JG420678,9/6/23 1:00,085XX S VERNON AVE,910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,FALSE,FALSE,632,6,6,44,7,1180845,1848509,2023,9/14/23 15:43,41.73955842,-87.61299169,"(41.739558418, -87.612991694)"
13202617,JG413500,9/6/23 11:52,084XX S KOLMAR AVE,2820,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,FALSE,TRUE,834,8,18,70,08A,1147358,1848376,2023,9/14/23 15:43,41.73989712,-87.73568735,"(41.739897121, -87.735687345)"
13202728,JG413475,9/6/23 11:00,062XX W BERENICE AVE,560,ASSAULT,SIMPLE,RESIDENCE - YARD (FRONT / BACK),FALSE,FALSE,1633,16,38,17,08A,1134011,1924941,2023,9/14/23 15:43,41.95024738,-87.78279167,"(41.95024738, -87.782791674)"
13202355,JG414318,9/6/23 23:29,026XX W ADAMS ST,650,BURGLARY,HOME INVASION,APARTMENT,FALSE,TRUE,1125,11,27,27,5,1158810,1898926,2023,9/14/23 15:43,41.8783869,-87.69234702,"(41.878386896, -87.692347019)"
13203667,JG413150,9/6/23 4:00,045XX S DREXEL BLVD,810,THEFT,OVER $500,APARTMENT,FALSE,TRUE,221,2,4,39,6,1182956,1875062,2023,9/14/23 15:43,41.81237358,-87.60443282,"(41.812373584, -87.604432822)"
13201711,JG413668,9/6/23 13:10,026XX W WASHINGTON BLVD,1320,CRIMINAL DAMAGE,TO VEHICLE,PARKING LOT / GARAGE (NON RESIDENTIAL),FALSE,FALSE,1222,12,27,27,14,1158642,1900581,2023,9/14/23 15:43,41.88293181,-87.69291853,"(41.882931813, -87.692918534)"
13202956,JG415118,9/6/23 20:00,042XX N BROADWAY,920,MOTOR VEHICLE THEFT,ATTEMPT - AUTOMOBILE,STREET,FALSE,FALSE,1915,19,46,3,7,1169125,1928512,2023,9/14/23 15:43,41.95935484,-87.65361169,"(41.959354838, -87.653611694)"
13208634,JG421577,9/7/23 0:00,079XX S CARPENTER ST,1151,DECEPTIVE PRACTICE,ILLEGAL POSSESSION CASH CARD,APARTMENT,FALSE,TRUE,612,6,17,71,11,1170692,1852164,2023,9/14/23 15:43,41.74981542,-87.65008425,"(41.74981542, -87.650084246)"
13203114,JG415205,9/6/23 16:30,030XX N KEATING AVE,560,ASSAULT,SIMPLE,RESIDENCE,FALSE,FALSE,2521,25,31,19,08A,1144191,1919806,2023,9/14/23 15:43,41.93597094,-87.74549991,"(41.935970935, -87.745499907)"
13202248,JG414266,9/6/23 22:07,080XX S MARYLAND AVE,560,ASSAULT,SIMPLE,STREET,FALSE,TRUE,631,6,8,44,08A,1183302,1851778,2023,9/14/23 15:43,41.74847212,-87.6038882,"(41.748472119, -87.603888197)"
13201954,JG414108,9/6/23 14:30,011XX N LAWLER AVE,2820,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,FALSE,FALSE,1531,15,37,25,08A,1142488,1907148,2023,9/14/23 15:43,41.90126792,-87.75207396,"(41.901267916, -87.752073955)"
13206420,JG415707,9/6/23 23:00,056XX S DORCHESTER AVE,820,THEFT,$500 AND UNDER,STREET,FALSE,FALSE,235,2,5,41,6,1186508,1867971,2023,9/14/23 15:43,41.79283195,-87.59162873,"(41.792831954, -87.591628734)"
13201841,JG413676,9/6/23 14:30,106XX S VINCENNES AVE,5011,OTHER OFFENSE,LICENSE VIOLATION,CAR WASH,TRUE,FALSE,2212,22,19,72,26,1168582,1834195,2023,9/14/23 15:43,41.70055152,-87.65833251,"(41.700551523, -87.658332506)"
13202710,JG414830,9/6/23 23:00,005XX E 33RD PL,810,THEFT,OVER $500,VEHICLE NON-COMMERCIAL,FALSE,FALSE,211,2,4,35,6,1180708,1882808,2023,9/14/23 15:43,41.83368122,-87.61243999,"(41.83368122, -87.612439993)"
